requirement_id,gate,family,criticality,strength,normative_statement,source_document,source_clause,verification_method,baseline_status,current_behavior,implementation_references,verification_references,evidence_references,coverage_limits,discrepancy_classification,discrepancy_id,deviation_id,confidence,assessor,reviewer_disposition,reviewer,notes
JAN-REQ-GOV-001,G0,GOV,P0,MUST,Every material capability shall contribute to a professional outcome rather than optimize artifact production as an end in itself.,JAN-CONST-001,Article I — Outcome Primacy,Architecture review; outcome trace audit,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-002,G1,GOV,P0,MUST,"Every material representation, decision, action, and PWU shall remain traceable to originating intent or an explicitly authorized exploratory purpose.",JAN-CONST-001,Article II; Article V,Traceability query and conformance test,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-003,G3,GOV,P0,MUST,"The platform shall support professional reasoning, not merely information storage, task execution, or artifact management.",JAN-CONST-001,Article III — Professional Reasoning,UX review; scenario test; semantic model audit,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-004,G4,GOV,P0,MUST,"Claims, confidence, assumptions, alternatives, and supporting or contradicting evidence shall remain explicit and inspectable.",JAN-CONST-001,Article IV — Evidence,Projection contract tests; decision scenario,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-005,G2,GOV,P0,MUST,"Professional reasoning shall remain reconstructable across time, participants, and revisions.",JAN-CONST-001,Article V — Traceability,Event/history replay test; provenance audit,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-006,G1,GOV,P0,MUST,"Professional representations shall be persistent, computable, observable, versioned, composable, and reconcilable.",JAN-CONST-001,Article VI — External Cognition,Schema and model conformance tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-007,G5,GOV,P0,MUST,Professional reasoning shall be recursively composable without violating reconstructability.,JAN-CONST-001,Article VII — Recursive Composition,Decomposition/recomposition acceptance journey,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-008,G6,GOV,P0,MUST,Organizational coherence shall be maintained through continuous reconciliation rather than episodic repair alone.,JAN-CONST-001,Article VIII — Continuous Reconciliation,Reconciliation trigger and application tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-009,G6,GOV,P1,MUST,Organizational memory shall preserve reasoning and rationale rather than only artifacts.,JAN-CONST-001,Article IX — Organizational Memory,Narrative/source trace test; history inspection,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-010,G8,GOV,P0,MUST,"AI participants shall remain subject to traceability, observability, evidence, validation, accountability, and reconciliation obligations.",JAN-CONST-001,Article X — Human–AI Partnership,Agent provenance and authority tests,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-011,G2,GOV,P1,MUST,Professional cognition and computational execution shall both be observable.,JAN-CONST-001,Article XI — Observability,OpenTelemetry contract tests; cognitive metric review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-012,G0,GOV,P0,MUST,Lower-level profiles and implementations shall specialize but shall not contradict higher-authority semantic documents.,JAN-CONST-001,Applicability and closing principle,Document dependency review; model diff policy,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-013,G0,GOV,P0,MUST,"Conflicts among code, documentation, and observed behavior shall be classified and reconciled; neither code nor documentation shall be assumed correct by default.",JAN-SEH-001,Reconciliation capability; architecture drift principles,Baseline discrepancy register and disposition review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
JAN-REQ-GOV-014,G0,GOV,P1,MUST,"Dates, staffing, estimates, and sprint assignments shall be maintained in a mutable operating plan and shall not redefine normative capability gates.",JAN-RMAP-001,Roadmap governance rule,Roadmap/operating-plan separation review,UNASSESSED,,,,,,,,,UNKNOWN,,NOT_REVIEWED,,
