requirementId,normativeStatement,sourceClause,requirementClass,strength,criticality,legacyGate,canonicalCapability,verificationMethod,currentStatus,mappingStatus
JAN-REQ-GOV-001,Every material capability shall contribute to a professional outcome rather than optimize artifact production as an end in itself.,JAN-CONST-001 / Article I — Outcome Primacy,Governance,MUST,P0,G0,PROGRAM_CONTROL,Architecture review; outcome trace audit,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-002,"Every material representation, decision, action, and PWU shall remain traceable to originating intent or an explicitly authorized exploratory purpose.",JAN-CONST-001 / Article II; Article V,Governance,MUST,P0,G1,C2,Traceability query and conformance test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-003,"The platform shall support professional reasoning, not merely information storage, task execution, or artifact management.",JAN-CONST-001 / Article III — Professional Reasoning,Governance,MUST,P0,G3,C4,UX review; scenario test; semantic model audit,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-004,"Claims, confidence, assumptions, alternatives, and supporting or contradicting evidence shall remain explicit and inspectable.",JAN-CONST-001 / Article IV — Evidence,Assurance,MUST,P0,G4,C5,Projection contract tests; decision scenario,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-005,"Professional reasoning shall remain reconstructable across time, participants, and revisions.",JAN-CONST-001 / Article V — Traceability,Governance,MUST,P0,G2,C3,Event/history replay test; provenance audit,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-006,"Professional representations shall be persistent, computable, observable, versioned, composable, and reconcilable.",JAN-CONST-001 / Article VI — External Cognition,Semantic Model,MUST,P0,G1,C1,Schema and model conformance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-007,Professional reasoning shall be recursively composable without violating reconstructability.,JAN-CONST-001 / Article VII — Recursive Composition,Professional Work,MUST,P0,G5,C6,Decomposition/recomposition acceptance journey,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-008,Organizational coherence shall be maintained through continuous reconciliation rather than episodic repair alone.,JAN-CONST-001 / Article VIII — Continuous Reconciliation,Reconciliation,MUST,P0,G6,C8,Reconciliation trigger and application tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-009,Organizational memory shall preserve reasoning and rationale rather than only artifacts.,JAN-CONST-001 / Article IX — Organizational Memory,Memory,MUST,P1,G6,C8,Narrative/source trace test; history inspection,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-010,"AI participants shall remain subject to traceability, observability, evidence, validation, accountability, and reconciliation obligations.",JAN-CONST-001 / Article X — Human–AI Partnership,AI Governance,MUST,P0,G8,C10,Agent provenance and authority tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-011,Professional cognition and computational execution shall both be observable.,JAN-CONST-001 / Article XI — Observability,Observability,MUST,P1,G2,C3,OpenTelemetry contract tests; cognitive metric review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-012,Lower-level profiles and implementations shall specialize but shall not contradict higher-authority semantic documents.,JAN-CONST-001 / Applicability and closing principle,Governance,MUST,P0,G0,PROGRAM_CONTROL,Document dependency review; model diff policy,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-013,"Conflicts among code, documentation, and observed behavior shall be classified and reconciled; neither code nor documentation shall be assumed correct by default.",JAN-SEH-001 / Reconciliation capability; architecture drift principles,Governance,MUST,P0,G0,PROGRAM_CONTROL,Baseline discrepancy register and disposition review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-GOV-014,"Dates, staffing, estimates, and sprint assignments shall be maintained in a mutable operating plan and shall not redefine normative capability gates.",JAN-RMAP-001 / Roadmap governance rule,Roadmap Governance,MUST,P1,G0,PROGRAM_CONTROL,Roadmap/operating-plan separation review,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-001,"Every canonical entity shall possess a stable globally unique identity that survives renaming, revision, and reassignment.",JAN-CPCO-001 / Section 4.1 — Identity,Semantic Model,MUST,P0,G1,C1,Schema test; identity persistence test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-002,Every entity shall declare a canonical entity type; domain subtypes shall preserve base semantics.,JAN-CPCO-001 / Section 4.2 — Type,Semantic Model,MUST,P1,G1,C1,Type-system conformance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-003,Mutable entities shall be versioned and historical versions shall remain reconstructable where required.,JAN-CPCO-001 / Section 4.3 — Version,Semantic Model,MUST,P0,G1,C1,Version-history test; replay test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-004,"Material entities and relationships shall record provenance, including human, AI, imported, derived, observed, and reconciled origin.",JAN-CPCO-001 / Section 4.4 — Provenance; INV-002; INV-003,Provenance,MUST,P0,G1,C1,Provenance completeness tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-005,"Lifecycle state, validity state, and relevant temporal context shall be explicit and shall not be inferred from null or missing values.",JAN-CPCO-001 / Sections 4.5–4.7; INV-007,State Model,MUST,P0,G1,C1,Schema and invariant tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-006,AI participants shall be represented explicitly and AI-originated cognition shall not be attributed to humans.,JAN-CPCO-001 / Section 5.5 — Participant; INV-003,AI Governance,MUST,P0,G4,C5,Projection and provenance tests,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
JAN-REQ-SEM-007,Questions and uncertainties shall be first-class entities and shall drive professional work and decision readiness.,JAN-CPCO-001 / Sections 5.6–5.7,Semantic Model,MUST,P1,G4,C5,Scenario test; query contract test,UNASSESSED,PROVISIONAL_PENDING_P0_AUDIT
